,entity_a,entity_b,entity_spans,sentence,Financial,Partner,People,Technical
0,Fortino Capital,Newion,"[(138, 152), (158, 163)]","After its rapid expansion from Luxembourg into Belgium and Switzerland, Salonkee just closed a €6.2 million Series A funding round led by Fortino Capital and Newion, to further accelerate its European expansion.",1.0,0.0,0.0,0.0
1,Fortino Capital,Charles Souillard,"[(128, 142), (46, 62)]","As part of the transaction, Miguel Valdes and Charles Souillard, who founded Bonitasoft in 2009, will reinvest and team up with Fortino Capital during this new phase of growth beginning in 2022. The transaction will involve Bonitasoft founders Miguel Valdes and Charles Souillard teaming up with Fortino Capital during this growth phase to accelerate sales of its new Cloud offering and develop its platform with new product innovations in the Process Analytics field.",0.0,0.0,1.0,0.0
2,Fortino Capital,Miguel Valdes,"[(128, 142), (28, 40)]","As part of the transaction, Miguel Valdes and Charles Souillard, who founded Bonitasoft in 2009, will reinvest and team up with Fortino Capital during this new phase of growth beginning in 2022. The transaction will involve Bonitasoft founders Miguel Valdes and Charles Souillard teaming up with Fortino Capital during this growth phase to accelerate sales of its new Cloud offering and develop its platform with new product innovations in the Process Analytics field.",0.0,0.0,1.0,0.0
3,Fortino Capital,Autodesk,"[(288, 302), (166, 173)]","Belgium's Oqton scores $40 million to 'disrupt manufacturing' with a cloud-based production platform Oqton, a young 'Industry 4.0' company started by a duo of former Autodesk executives, has secured more than $40 million in Series A funding in a round led by B2B software investment firm Fortino Capital, PMV and multinational engineering group Sandvik. The round was led by Fortino Capital, PMV, and Sandvik with participation from Samir Hanna and Ben Schrauwen and angel investors Carl Bass (former CEO Autodesk), Dries Buytaert (Drupal and Acquia), and Peter Mercelis (Layerwise). Established by ex-Autodesk employees including Dr. Ben Schrauwen, Oqton was backed by the likes of Carl Bass, Sandvik, and Fortino Capital.",0.0,0.0,1.0,0.0
4,Fortino Capital,SimplyDelivery,"[(230, 244), (0, 13)]","SimplyDelivery, the Berlin-based startup which provides cloud software for around 3,000 restaurant chains, ghost kitchens or individual businesses, has closed a €10 million Series A funding round led by Cusp Capital and joined by Fortino Capital.",1.0,0.0,0.0,0.0
5,Fortino Capital,Melita,"[(362, 376), (332, 337)]","David and his team have done an excellent job and we wish them all well in the future.EQT, based in Stockholm, is the company that is partnering with Marc Ganzi's US group to buy Zayo for $14.3 billion.Earlier this year it dropped a bid to buy Australian company Vocus, but in May it signed an agreement to acquire Maltese operator Melita from Apax Partners and Fortino Capital. Also commended for its innovative financing approach, implementing a dynamic balance sheet management via asset backed securitizations (ABS).EQTNominated for deals including: the US$14.3bn take private transaction for Zayo Group; the acquisition of Melita from Apax Partners and Fortino Capital; the transfer of IP-Only from EQT Mid-Market to EQT Infrastructure for US$1.9bn; and the sale of Tampnet to 3i Infrastructure and ATP. The Awards are based on nominations from the global TMT Finance network, and then analysed against the TMT Finance deal date and league tables, with final shortli of 20 key deal advisers and industry experts.The shortlists for over 20 further categories will be revealed in the lead up to the awards ceremony at the Leonardo Royal Hotel, London on November 26 and shine a spotlight on the key deals and people transforming the global TMT sector.THE SHORTLISTSTELECOM M&A DEAL OF THE YEAR ' EMEADNA (Finland)Telenor's acquisition of DNA from Finda Telecoms Oy and PHP Holding Oy for E1.5bnAdvised by Barclays (Telenor); Nordea (DNA shareholders)Global Telecoms Holdings (Egypt, Various) ' subject to closingVEON's mandatory tender offer for the remaining shares in GTH for US$2.3bnAdvised by Citi and LionTree (VEON)Inmarsat (UK) ' subject to closingApax, Warburg Pincus, CPPIB and OTPP's acquisition of Inmarsat from shareholders for US3.3bnAdvised by UBS (consortium); JPMorgan, PJT Partners, Credit Suisse (Inmarsat).Liberty Glo LionTree, Goldman Sachs (Liberty); Robey Warshaw, UBS, Morgan Stanley (Vodafone)United Group (SE Europe, Various)BC Partners' acquisition of United Group from KKR for an undisclosed amount (c. E2.6bn)Advised by Morgan Stanley, LionTree (BC Partners); ",1.0,0.0,0.0,0.0
6,Fortino Capital,EQT,"[(362, 376), (86, 88)]","David and his team have done an excellent job and we wish them all well in the future.EQT, based in Stockholm, is the company that is partnering with Marc Ganzi's US group to buy Zayo for $14.3 billion.Earlier this year it dropped a bid to buy Australian company Vocus, but in May it signed an agreement to acquire Maltese operator Melita from Apax Partners and Fortino Capital. Also commended for its innovative financing approach, implementing a dynamic balance sheet management via asset backed securitizations (ABS).EQTNominated for deals including: the US$14.3bn take private transaction for Zayo Group; the acquisition of Melita from Apax Partners and Fortino Capital; the transfer of IP-Only from EQT Mid-Market to EQT Infrastructure for US$1.9bn; and the sale of Tampnet to 3i Infrastructure and ATP. The Awards are based on nominations from the global TMT Finance network, and then analysed against the TMT Finance deal date and league tables, with final shortli of 20 key deal advisers and industry experts.The shortlists for over 20 further categories will be revealed in the lead up to the awards ceremony at the Leonardo Royal Hotel, London on November 26 and shine a spotlight on the key deals and people transforming the global TMT sector.THE SHORTLISTSTELECOM M&A DEAL OF THE YEAR ' EMEADNA (Finland)Telenor's acquisition of DNA from Finda Telecoms Oy and PHP Holding Oy for E1.5bnAdvised by Barclays (Telenor); Nordea (DNA shareholders)Global Telecoms Holdings (Egypt, Various) ' subject to closingVEON's mandatory tender offer for the remaining shares in GTH for US$2.3bnAdvised by Citi and LionTree (VEON)Inmarsat (UK) ' subject to closingApax, Warburg Pincus, CPPIB and OTPP's acquisition of Inmarsat from shareholders for US3.3bnAdvised by UBS (consortium); JPMorgan, PJT Partners, Credit Suisse (Inmarsat).Liberty Glo LionTree, Goldman Sachs (Liberty); Robey Warshaw, UBS, Morgan Stanley (Vodafone)United Group (SE Europe, Various)BC Partners' acquisition of United Group from KKR for an undisclosed amount (c. E2.6bn)Advised by Morgan Stanley, LionTree (BC Partners); ",1.0,0.0,0.0,0.0
7,Fortino Capital,Darley Technologies,"[(14, 28), (85, 103)]","Flow Traders, Fortino Capital, Picus Capital, Kima Ventures, Jabre Capital Partners, Darley Technologies, and angel investors also participated in this round. Other investors, including Flow Traders, Fortino Capital, Picus Capital, Kima Ventures, Philippe Jabre family office, Darley Technologies, and angel investors, also participated.",1.0,0.0,0.0,0.0
8,Fortino Capital,Efficy CRM,"[(0, 14), (172, 181)]","Fortino Capital Growth PE I, the firm as second fund, dedicated242 million to smaller companies that were poised for accelerated organic growth, such as MobileXpense (BE), Efficy CRM (BE) and Odin Groep (NL). De investeringsportefeuille van Fortino Capital omvat MobileXpense, Efficy CRM, Odin Groep, Tenzinger, Maxxton, LetsBuild, Teamleader en Buy Bay. Fortino Capital's investment portfolio includes MobileXpense, Efficy CRM, Odin Groep, ",1.0,0.0,0.0,0.0
9,Fortino Capital,BuyBay,"[(0, 14), (46, 51)]","Fortino Capital's portfolio includes Bloomon, BuyBay, Team Leader, Slick Software Solutions, inSided and TrendMiner. BuyBay Receives Investment from Fortino Capital BuyBay, an Amsterdam, The Netherlands-based provider of total solutions for returned products in e-commerce and retail, received an investment of millions of eur",1.0,0.0,0.0,0.0
