Company A,Company B,start,end,Sentence,Type,Degree,Url
Fortino Capital,Newion,138,158,"After its rapid expansion from Luxembourg into Belgium and Switzerland, Salonkee just closed a €6.2 million Series A funding round led by Fortino Capital and Newion, to further accelerate its European expansion.",Investment,indirect,https://www.eu-startups.com/2021/07/luxembourg-based-salonkee-raises-e6-2-million-for-the-european-expansion-of-it-beauty-salon-reservations-software/
Fortino Capital,Charles Souillard,128,46,"As part of the transaction, Miguel Valdes and Charles Souillard, who founded Bonitasoft in 2009, will reinvest and team up with Fortino Capital during this new phase of growth beginning in 2022. The transaction will involve Bonitasoft founders Miguel Valdes and Charles Souillard teaming up with Fortino Capital during this growth phase to accelerate sales of its new Cloud offering and develop its platform with new product innovations in the Process Analytics field.",People,indirect,https://finance.yahoo.com/news/bonitasoft-exceeds-2021-forecast-revenue-131500489.html
Fortino Capital,Miguel Valdes,128,28,"As part of the transaction, Miguel Valdes and Charles Souillard, who founded Bonitasoft in 2009, will reinvest and team up with Fortino Capital during this new phase of growth beginning in 2022. The transaction will involve Bonitasoft founders Miguel Valdes and Charles Souillard teaming up with Fortino Capital during this growth phase to accelerate sales of its new Cloud offering and develop its platform with new product innovations in the Process Analytics field.",People,indirect,https://finance.yahoo.com/news/bonitasoft-exceeds-2021-forecast-revenue-131500489.html
Fortino Capital,Autodesk,288,166,"Belgium's Oqton scores $40 million to 'disrupt manufacturing' with a cloud-based production platform Oqton, a young 'Industry 4.0' company started by a duo of former Autodesk executives, has secured more than $40 million in Series A funding in a round led by B2B software investment firm Fortino Capital, PMV and multinational engineering group Sandvik. The round was led by Fortino Capital, PMV, and Sandvik with participation from Samir Hanna and Ben Schrauwen and angel investors Carl Bass (former CEO Autodesk), Dries Buytaert (Drupal and Acquia), and Peter Mercelis (Layerwise). Established by ex-Autodesk employees including Dr. Ben Schrauwen, Oqton was backed by the likes of Carl Bass, Sandvik, and Fortino Capital.",People,indirect,https://tech.eu/2021/01/15/oqton-funding
Fortino Capital,SimplyDelivery,230,0,"SimplyDelivery, the Berlin-based startup which provides cloud software for around 3,000 restaurant chains, ghost kitchens or individual businesses, has closed a €10 million Series A funding round led by Cusp Capital and joined by Fortino Capital.",Investment,direct,https://www.eu-startups.com/2021/07/berlin-based-simplydelivery-raises-e10-million-in-series-a-funding-to-expand-its-operating-system-for-restaurants/
Fortino Capital,Getvisibility,174,222,"Certain existing investors, including Pires Investments, Sure Valley Ventures (“SVV”) and Manifold Investments Limited have also made follow-on investments alongside AIC and Fortino and other additional new investors into Getvisibility, an AI-based data company. He commented: This latest funding round to raise €10 million, led by global venture capital investors AIC and Fortino, clearly validates the excellent investment that Getvisibility has represented to date and strongly endorses the company’s business prospects going forward.Lee noted that Getvisibility is now “well funded and clearly set on a path to make even greater progress”, adding”: “This is yet another example of the exciting results that are being achieved by Pires from its investment portfolio, indicating the potential of this portfolio going forward.”",Investment,direct,https://www.voxmarkets.co.uk/articles/pires-investments-increases-stake-in-getvisibility-as-it-invests-a-further-50-000-a7ee038/
Fortino Capital,Pires Investments,174,38,"Certain existing investors, including Pires Investments, Sure Valley Ventures (“SVV”) and Manifold Investments Limited have also made follow-on investments alongside AIC and Fortino and other additional new investors into Getvisibility, an AI-based data company. He commented: This latest funding round to raise €10 million, led by global venture capital investors AIC and Fortino, clearly validates the excellent investment that Getvisibility has represented to date and strongly endorses the company’s business prospects going forward.Lee noted that Getvisibility is now “well funded and clearly set on a path to make even greater progress”, adding”: “This is yet another example of the exciting results that are being achieved by Pires from its investment portfolio, indicating the potential of this portfolio going forward.”",Investment,indirect,https://www.voxmarkets.co.uk/articles/pires-investments-increases-stake-in-getvisibility-as-it-invests-a-further-50-000-a7ee038/
Fortino Capital,Melita,362,332,"David and his team have done an excellent job and we wish them all well in the future.EQT, based in Stockholm, is the company that is partnering with Marc Ganzi's US group to buy Zayo for $14.3 billion.Earlier this year it dropped a bid to buy Australian company Vocus, but in May it signed an agreement to acquire Maltese operator Melita from Apax Partners and Fortino Capital. Also commended for its innovative financing approach, implementing a dynamic balance sheet management via asset backed securitizations (ABS).EQTNominated for deals including: the US$14.3bn take private transaction for Zayo Group; the acquisition of Melita from Apax Partners and Fortino Capital; the transfer of IP-Only from EQT Mid-Market to EQT Infrastructure for US$1.9bn; and the sale of Tampnet to 3i Infrastructure and ATP. The Awards are based on nominations from the global TMT Finance network, and then analysed against the TMT Finance deal date and league tables, with final shortli of 20 key deal advisers and industry experts.The shortlists for over 20 further categories will be revealed in the lead up to the awards ceremony at the Leonardo Royal Hotel, London on November 26 and shine a spotlight on the key deals and people transforming the global TMT sector.THE SHORTLISTSTELECOM M&A DEAL OF THE YEAR ' EMEADNA (Finland)Telenor's acquisition of DNA from Finda Telecoms Oy and PHP Holding Oy for E1.5bnAdvised by Barclays (Telenor); Nordea (DNA shareholders)Global Telecoms Holdings (Egypt, Various) ' subject to closingVEON's mandatory tender offer for the remaining shares in GTH for US$2.3bnAdvised by Citi and LionTree (VEON)Inmarsat (UK) ' subject to closingApax, Warburg Pincus, CPPIB and OTPP's acquisition of Inmarsat from shareholders for US3.3bnAdvised by UBS (consortium); JPMorgan, PJT Partners, Credit Suisse (Inmarsat).Liberty Glo LionTree, Goldman Sachs (Liberty); Robey Warshaw, UBS, Morgan Stanley (Vodafone)United Group (SE Europe, Various)BC Partners' acquisition of United Group from KKR for an undisclosed amount (c. E2.6bn)Advised by Morgan Stanley, LionTree (BC Partners); ",Exit,direct,https://www.capacitymedia.com/articles/3824316/eqt-adds-to-telecoms-portfolio-by-buying-german-fibre-network-inexio-for-1bn
Fortino Capital,EQT,362,86,"David and his team have done an excellent job and we wish them all well in the future.EQT, based in Stockholm, is the company that is partnering with Marc Ganzi's US group to buy Zayo for $14.3 billion.Earlier this year it dropped a bid to buy Australian company Vocus, but in May it signed an agreement to acquire Maltese operator Melita from Apax Partners and Fortino Capital. Also commended for its innovative financing approach, implementing a dynamic balance sheet management via asset backed securitizations (ABS).EQTNominated for deals including: the US$14.3bn take private transaction for Zayo Group; the acquisition of Melita from Apax Partners and Fortino Capital; the transfer of IP-Only from EQT Mid-Market to EQT Infrastructure for US$1.9bn; and the sale of Tampnet to 3i Infrastructure and ATP. The Awards are based on nominations from the global TMT Finance network, and then analysed against the TMT Finance deal date and league tables, with final shortli of 20 key deal advisers and industry experts.The shortlists for over 20 further categories will be revealed in the lead up to the awards ceremony at the Leonardo Royal Hotel, London on November 26 and shine a spotlight on the key deals and people transforming the global TMT sector.THE SHORTLISTSTELECOM M&A DEAL OF THE YEAR ' EMEADNA (Finland)Telenor's acquisition of DNA from Finda Telecoms Oy and PHP Holding Oy for E1.5bnAdvised by Barclays (Telenor); Nordea (DNA shareholders)Global Telecoms Holdings (Egypt, Various) ' subject to closingVEON's mandatory tender offer for the remaining shares in GTH for US$2.3bnAdvised by Citi and LionTree (VEON)Inmarsat (UK) ' subject to closingApax, Warburg Pincus, CPPIB and OTPP's acquisition of Inmarsat from shareholders for US3.3bnAdvised by UBS (consortium); JPMorgan, PJT Partners, Credit Suisse (Inmarsat).Liberty Glo LionTree, Goldman Sachs (Liberty); Robey Warshaw, UBS, Morgan Stanley (Vodafone)United Group (SE Europe, Various)BC Partners' acquisition of United Group from KKR for an undisclosed amount (c. E2.6bn)Advised by Morgan Stanley, LionTree (BC Partners); ",Exit,indirect,https://www.capacitymedia.com/articles/3824316/eqt-adds-to-telecoms-portfolio-by-buying-german-fibre-network-inexio-for-1bn
Fortino Capital,Darley Technologies,14,85,"Flow Traders, Fortino Capital, Picus Capital, Kima Ventures, Jabre Capital Partners, Darley Technologies, and angel investors also participated in this round. Other investors, including Flow Traders, Fortino Capital, Picus Capital, Kima Ventures, Philippe Jabre family office, Darley Technologies, and angel investors, also participated.",Investment,indirect,https://www.fintechfutures.com/2022/01/icymi-funding-round-up-anfin-cion-digital-d2x-krm22-orenda-finance/
